Amp.Batch.ID	Seq.Batch.ID	Batch.Set.ID	Embryo
sorp_p16_f1e5	sorp_p16_f1e5	sorp_p16_f1e5	rab2_f1e5
sorp_p17_f1e5	sorp_p17_f1e5	sorp_p17_f1e5	rab2_f1e5
sorp_p18_f1e5	sorp_p18_f1e5	sorp_p18_f1e5	rab2_f1e5
sorp_p19_f1e8	sorp_p19_f1e8	sorp_p19_f1e8	rab2_f1e8
sorp_p20_f1e8	sorp_p20_f1e8	sorp_p20_f1e8	rab2_f1e8
sorp_p21_f1e8	sorp_p21_f1e8	sorp_p21_f1e8	rab2_f1e8
sorp_p22_f1e8	sorp_p22_f1e8	sorp_p22_f1e8	rab2_f1e8
sorp_p23_f2e2	sorp_p23_f2e2	sorp_p23_f2e2	rab2_f2e2
sorp_p24_f2e2	sorp_p24_f2e2	sorp_p24_f2e2	rab2_f2e2
sorp_p25_f2e2	sorp_p25_f2e2	sorp_p25_f2e2	rab2_f2e2
sorp_p26_f2e3	sorp_p26_f2e3	sorp_p26_f2e3	rab2_f2e3
sorp_p27_f2e3	sorp_p27_f2e3	sorp_p27_f2e3	rab2_f2e3
sorp_p28_f2e3	sorp_p28_f2e3	sorp_p28_f2e3	rab2_f2e3
Rab3_p01	Rab3_p01	Rab3_p01	Rab3_f1e2
Rab3_p02	Rab3_p02	Rab3_p02	Rab3_f1e2
Rab3_p03	Rab3_p03	Rab3_p03	Rab3_f1e3
Rab3_p04	Rab3_p04	Rab3_p04	Rab3_f1e3
Rab3_p05	Rab3_p05	Rab3_p05	Rab3_f1e8
Rab3_p06	Rab3_p06	Rab3_p06	Rab3_f1e9
Rab3_p07	Rab3_p07	Rab3_p07	Rab3_f1e9
Rab3_p08	Rab3_p08	Rab3_p08	Rab3_f1e10
Rab3_p09	Rab3_p09	Rab3_p09	Rab3_f1e13
Rab3_p10	Rab3_p10	Rab3_p10	Rab3_f1e13
Rab3_p11	Rab3_p11	Rab3_p11	Rab3_f1e11
Rab3_p12	Rab3_p12	Rab3_p12	Rab3_f1e11
Rab3_p13	Rab3_p13	Rab3_p13	Rab3_f1e12
rab07_p1	rab07_p1	rab07_p1	Rab7_e3
rab07_p2	rab07_p2	rab07_p2	Rab7_e3
rab07_p3	rab07_p3	rab07_p3	Rab7_e6
Rab_p03_f1e1	Rab_p03_f1e1	Rab_p03_f1e1	Rab1_f1e1
Rab_p04_f1e2	Rab_p04_f1e2	Rab_p04_f1e2	Rab1_f1e2
Rab_p14_f1e7	Rab_p14_f1e7	Rab_p14_f1e7	Rab1_f1e7
Rab_p26_f2e6	Rab_p26_f2e6	Rab_p26_f2e6	Rab1_f2e6
Rab_p27_f2e7	Rab_p27_f2e7	Rab_p27_f2e7	Rab1_f2e7
Rab_p28_f2e7	Rab_p28_f2e7	Rab_p28_f2e7	Rab1_f2e7
sorp_p05_f1e6	sorp_p05_f1e6	sorp_p05_f1e6	Rab1_f1e6
sorp_p06_f1e6	sorp_p06_f1e6	sorp_p06_f1e6	Rab1_f1e6
Rab_p01_f1e1	Rab_p01_f1e1	Rab_p01_f1e1	Rab1_f1e1
Rab_p05_f1e2	Rab_p05_f1e2	Rab_p05_f1e2	Rab1_f1e2
Rab_p07_f1e3	Rab_p07_f1e3	Rab_p07_f1e3	Rab1_f1e3
Rab_p09_f1e3	Rab_p09_f1e3	Rab_p09_f1e3	Rab1_f1e3
Rab_p11_f1e4	Rab_p11_f1e4	Rab_p11_f1e4	Rab1_f1e4
Rab_p13_f1e7	Rab_p13_f1e7	Rab_p13_f1e7	Rab1_f1e7
Rab_p21_f2e4	Rab_p21_f2e4	Rab_p21_f2e4	Rab1_f2e4
Rab_p22_f2e4	Rab_p22_f2e4	Rab_p22_f2e4	Rab1_f2e4
Rab_p02_f1e1	Rab_p02_f1e1	Rab_p02_f1e1	Rab1_f1e1
Rab_p20_f2e4	Rab_p20_f2e4	Rab_p20_f2e4	Rab1_f2e4
Rab_p30_f2e9	Rab_p30_f2e9	Rab_p30_f2e9	Rab1_f2e9
aria_p01_f2e3	aria_p01_f2e3	aria_p01_f2e3	Rab1_f2e3
aria_p02_f2e3	aria_p02_f2e3	aria_p02_f2e3	Rab1_f2e3
aria_p04_f2e5	aria_p04_f2e5	aria_p04_f2e5	Rab1_f2e5
aria_p05_f2e5	aria_p05_f2e5	aria_p05_f2e5	Rab1_f2e5
aria_p06_f2e5	aria_p06_f2e5	aria_p06_f2e5	Rab1_f2e5
Rab_p08_f1e3	Rab_p08_f1e3	Rab_p08_f1e3	Rab1_f1e3
Rab_p10_f1e4	Rab_p10_f1e4	Rab_p10_f1e4	Rab1_f1e4
Rab_p12_f1e4	Rab_p12_f1e4	Rab_p12_f1e4	Rab1_f1e4
Rab_p15_f1e7	Rab_p15_f1e7	Rab_p15_f1e7	Rab1_f1e7
Rab_p17_f2e2	Rab_p17_f2e2	Rab_p17_f2e2	Rab1_f2e2
Rab_p19_f2e2	Rab_p19_f2e2	Rab_p19_f2e2	Rab1_f2e2
Rab_p24_f2e6	Rab_p24_f2e6	Rab_p24_f2e6	Rab1_f2e6
rab1230_p01	rab1230_p01	rab1230_p01	Rab7_e2
