Amp.Batch.ID	Seq.Batch.ID	Batch.Set.ID	Embryo
Rab14_P18	Rab14_P18	Rab14_P18	rab14_e5
Rab14_P19	Rab14_P19	Rab14_P19	rab14_e5
Rab14_P20	Rab14_P20	Rab14_P20	rab14_e5
Rab14_P21	Rab14_P21	Rab14_P21	rab14_e6
Rab14_P22	Rab14_P22	Rab14_P22	rab14_e6
Rab14_P23	Rab14_P23	Rab14_P23	rab14_e6
Rab14_P24	Rab14_P24	Rab14_P24	rab14_e6
Rab14_P25	Rab14_P25	Rab14_P25	rab14_e7
Rab14_P26	Rab14_P26	Rab14_P26	rab14_e7
Rab14_P27	Rab14_P27	Rab14_P27	rab14_e7
Rab14_P28	Rab14_P28	Rab14_P28	rab14_e7
Rab14_P29	Rab14_P29	Rab14_P29	rab14_e8
Rab14_P30	Rab14_P30	Rab14_P30	rab14_e8
Rab14_P31	Rab14_P31	Rab14_P31	rab14_e8
Rab14_P32	Rab14_P32	Rab14_P32	rab14_e8
Rab14_P33	Rab14_P33	Rab14_P33	rab14_e9
Rab14_P34	Rab14_P34	Rab14_P34	rab14_e9
Rab14_P35	Rab14_P35	Rab14_P35	rab14_e9
Rab14_P36	Rab14_P36	Rab14_P36	rab14_e9
Rab14_P37	Rab14_P37	Rab14_P37	rab14_e10
Rab14_P38	Rab14_P38	Rab14_P38	rab14_e10
Rab14_P39	Rab14_P39	Rab14_P39	rab14_e10
Rab14_P40	Rab14_P40	Rab14_P40	rab14_e10
Rab15_p1	Rab15_p1	Rab15_p1	Rab15_e1_head
Rab15_p2	Rab15_p2	Rab15_p2	Rab15_e1_midAnt
Rab15_p3	Rab15_p3	Rab15_p3	Rab15_e1_midPost
Rab15_p4	Rab15_p4	Rab15_p4	Rab15_e1_midPost
Rab15_p5	Rab15_p5	Rab15_p5	Rab15_e1_tail
Rab15_p6	Rab15_p6	Rab15_p6	Rab15_e6
Rab15_p7	Rab15_p7	Rab15_p7	Rab15_e6
Rab15_p8	Rab15_p8	Rab15_p8	Rab15_e6
Rab15_p9	Rab15_p9	Rab15_p9	Rab15_e6
Rab15_p10	Rab15_p10	Rab15_p10	Rab15_e7
Rab15_p11	Rab15_p11	Rab15_p11	Rab15_e7
Rab15_p12	Rab15_p12	Rab15_p12	Rab15_e7
Rab15_p13	Rab15_p13	Rab15_p13	Rab15_e7
Rab15_p14	Rab15_p14	Rab15_p14	Rab15_e8
Rab15_p15	Rab15_p15	Rab15_p15	Rab15_e8
Rab15_p16	Rab15_p16	Rab15_p16	Rab15_e8
Rab15_p17	Rab15_p17	Rab15_p17	Rab15_e8
Rab15_p18	Rab15_p18	Rab15_p18	Rab15_e9
Rab15_p19	Rab15_p19	Rab15_p19	Rab15_e9
Rab15_p20	Rab15_p20	Rab15_p20	Rab15_e9
Rab15_p21	Rab15_p21	Rab15_p21	Rab15_e9
